Tibetan	Description
ཁ་རུ་ཚ་	Kala namak ༼hn=༽ Kala nimak ༼en=༽ Black salt Latin Name: Halitum Violaceum [e:༼hn=༽ Kala nimak ༼sk= Kala namak༽ ༼en=༽ Black salt Latin Name: Halitum Violaceum Taste: Salty Potency: Hot Uses: It is used against low digestive heat, indigestion, distension of stomach, belching and Hung disorders.  
ཁ་ཤ་	Tibetan elk [e:Tibetan elk (Capreolus Capreolus)  
ཁམས་དམར་གྱི་སྣོད་	Ovary [e:Ovary (༼lv=lit༽ vessel of the red element)  
ཁུ་བྱུག་པ་	༼bot=༽ Cypripedium himalaicum Rolfe [e:༼bot=༽ Cypripedium himalaicum Rolfe Taste: Bitter Potency: Cool to coarse Uses: It is useful for treating oedema, constipation and kidney and urinary bladder stone.  
ཁུར་མང་	Dugdhapheni, Payasvini ༼en=༽ Dandelion ༼bot=༽ Taraxacum Officinale [e:༼sk= Dugdhapheni, Payasvini༽ ༼en=༽ Dandelion ༼bot=༽ Taraxacum Officinale Taste: Bitter Potency: Cool Uses: It is used against chronic fever, gall bladder problems, epedimic fever, poisoning, developement of blood and མཁནས་པད diseases, brown phlegm and subside fever arising from wounds.  
ཁུར་ཚོད་	Cooked dandelion ༼bot=༽; Taraxacum Tibeticum. Uses: It controls fever and brown phlegm. [e:Cooked dandelion ༼bot=༽; Taraxacum Tibeticum. Uses: It controls fever and brown phlegm.  
ཁྱི་དུག་	Alarka-visa Rabies, [e:Rabies, ༼sk= Alarka-visa༽  
ཁྱི་ཟླ་	Dog month-7th Tibetan lunar month according to the elemental astrology [e:Dog month-7th Tibetan lunar month according to the elemental astrology  
ཁྱི་ཤིང་	Lonicera tibetica Bur et Franch Uses: It is beneficial for pulmonary disorders and mucus. [e:Lonicera tibetica Bur et Franch Uses: It is beneficial for pulmonary disorders and mucus.  
ཁྱིམ་གྲངས་	༼grm=lit༽ house number A number which signifies each of the twelve zodiac signs; O-Aries, 1-Taurus, 2- Gemini, 3-Cancer, 4-Leo, 5- Virgo, 6-Libra, 7-Scorpio, 8-Sagittarius, 9-Capncorn, 10-Aquarius, 11-Pisces [e:༼grm=lit༽ house number A number which signifies each of the twelve zodiac signs; O-Aries, 1-Taurus, 2- Gemini, 3-Cancer, 4-Leo, 5- Virgo, 6-Libra, 7-Scorpio, 8-Sagittarius, 9-Capncorn, 10-Aquarius, 11-Pisces  
ཁྱིམ་བཅུ་གཉིས་	The twelve zodiac signs ༼m1༽ ལུག -Aries, Mesha, ༼m2༽ གླང -Taurus, Vrishabha, ༼m3༽ འཁྲིག་པ -Gemini, Mithuna, ༼m4༽ ཀར་ཏ -Cancer, karkata, ༼m5༽ སེན་གེ -Leo, Simha, ༼m6༽ བུ་མོ -Virgo, kanya, ༼m7༽ སྲང -Libta, tula, ༼m8༽ སྡིག -Scorpio, Vrischika, ༼m9༽ གཞུ -Sagittarius, dhanu, ༼m10༽ ཆུ་སྲིན -Capricorn, Makar, ༼m11༽ བཧུམ་པ -Aquarius, kumbha [e:The twelve zodiac signs   ༼m1༽ ལུག -Aries, Mesha,   ༼m2༽ གླང -Taurus, Vrishabha,   ༼m3༽ འཁྲིག་པ -Gemini, Mithuna,   ༼m4༽ ཀར་ཏ -Cancer, karkata,   ༼m5༽ སེན་གེ -Leo, Simha,   ༼m6༽ བུ་མོ -Virgo, kanya,   ༼m7༽ སྲང -Libta, tula,   ༼m8༽ སྡིག -Scorpio, Vrischika,   ༼m9༽ གཞུ -Sagittarius, dhanu,   ༼m10༽ ཆུ་སྲིན -Capricorn, Makar,   ༼m11༽ བཧུམ་པ -Aquarius, kumbha   ༼m12༽ ཉ -Visces, meena. ཁྱིམ་བྱ Cock, hen, ༼grm=lit༽ domestic birds ཁྱིམ་ཞག A zodiac day A zodiac day is equal to one thirtieth of the time (it take) the sun to move through one of the twelve houses.  
ཁྱིམ་ལོ་	A zodiac year [e:A zodiac year     
ཁྱུ་མཆོག་	 ༼m1༽ Leader of a herd buffalo (Bubalus bubalus) [e:  ༼m1༽ Leader of a herd buffalo (Bubalus bubalus)   ༼m2༽ Elephant (Elephas maximus)     
ཁྱུང་	Garuda [e:Garuda (a mythological bird)     
ཁྱུང་སྡེར་	Uncaria scandens [e:Uncaria scandens (smith) Hutch; ༼grm=lit༽ claws of garuda  
ཁྱེ་མ་	Acne A kind of skin infection in which the skin gets discoloured [e:Acne A kind of skin infection in which the skin gets discoloured     
ཁྱོར་བ་གང་	A single handful [e:A single handful  
ཁྲ་	Sparrow hawk [e:Sparrow hawk (Accipeter nisus/Falco tinnunculus)  
ཁྲ་གླག་	Hawk and eagle [e:Hawk and eagle  
ཁྲག་	rakta Blood, It is one of the seven bodily constituents sustaining life. [e:Blood, ༼sk= rakta༽ It is one of the seven bodily constituents sustaining life.     
ཁྲག་སྐྲན་	Blood tumour A disease characterised by the clotting of blood, especially of the menstrual flow. It may also occur after childbirth under unhygienic conditions. [e:Blood tumour A disease characterised by the clotting of blood, especially of the menstrual flow. It may also occur after childbirth under unhygienic conditions.  
ཁྲག་ཁྲོག་པ་	༼bot=༽ Lepidium Apelatum [e:༼bot=༽ Lepidium Apelatum Taste: Astringent to hot Potency: Neutral Uses: It is used against swelling, pain, accumulation of water due to elephantias, increase of impure blood and serous fluids, accumulation of sputum and fever associated with lungs and bone fractures.  
ཁྲག་ནད་	Blood disorders [e:Blood disorders  
ཁྲག་རྩ་	Blood vessel It refers to any one of the network of tubes that carries blood. Kinds of blood vessels are arteries, arterioles, capillaries, veins, and venules. [e:Blood vessel It refers to any one of the network of tubes that carries blood. Kinds of blood vessels are arteries, arterioles, capillaries, veins, and venules.  
ཁྲག་ཚབས་	Menorrhagia A new or recent female disorders characterised by abnormally heavy or long menstrual periods which usually occurs during the reproductive years of most woman's lives. [e:Menorrhagia A new or recent female disorders characterised by abnormally heavy or long menstrual periods which usually occurs during the reproductive years of most woman's lives.  
ཁྲག་ལོང་	Ascending colon [e:Ascending colon  
ཁྲག་ཤུགས་	Blood pressure It reters to the pressure exerted by the circulating volume of blood on the walls of the arteries, the veins, and the chambers of heart. [e:Blood pressure It reters to the pressure exerted by the circulating volume of blood on the walls of the arteries, the veins, and the chambers of heart.  
ཁྲག་ཤེད་	Hypertension A condition inwhich a level of blood pressure, which is above normal for that particular age and sex. It may cause damage to the vessels and arteries of the heart, brain, kidney and eyes. [e:Hypertension A condition inwhich a level of blood pressure, which is above normal for that particular age and sex. It may cause damage to the vessels and arteries of the heart, brain, kidney and eyes.  
ཁྲག་སྲིན་	Animalcules of blood This agents or animalcules dwelling in the blood stream or circulatory system are present in the blood from birth and supports the body function. [e:Animalcules of blood This agents or animalcules dwelling in the blood stream or circulatory system are present in the blood from birth and supports the body function.  
ཁྲེ་	༼en=༽ Millet [e:༼en=༽ Millet (categorised under grains which develop bristiing awns) Taste: Sweet Potency: Cool to heavy Uses: It is considered to improves health condition in general and to heal fractured and broken bones.  
ཁྲོན་བུ་	༼hn=༽ Dugdhika ༼en=༽ Spurge ༼bot=༽ Euphorbia Sieboldiana [e:༼hn=༽ Dugdhika ༼en=༽ Spurge ༼bot=༽ Euphorbia Sieboldiana Taste: Sweet Potency: Neutral Uses: It dispels bile disorders, controls fever due to poisoning, subsides swelling and used as purgative for bile disorders.  
མཁན་དཀར་	༼bot=༽ Artemesia sp. [e:༼bot=༽ Artemesia sp. Taste: Bitter Potency: Cool to coarse Uses: It is beneficial in treating bleeding, swelling, kidney disorder, wounds, cancer and drains pus from lungs.  
མཁན་སྐྱ་	Artemisia sieveriana Ehrhard ex Willd [e:Artemisia sieveriana Ehrhard ex Willd  
མཁན་ནག་	Nagadamani Nagadana [e:༼sk= Nagadamani༽ Nagadana (Artemisia annua L)  
མཁལ་ནད་	Renal disease [e:Renal disease  
མཁལ་ཚད་	Kidney heat A kidney disease with heat infliction, and it is characterised by burning sensation at the tip of urethra. [e:Kidney heat A kidney disease with heat infliction, and it is characterised by burning sensation at the tip of urethra.  
མཁལ་རླུང་	Kidney rlung A kidney disease with cold and རླུང inflictions and it is characterised by severe pain in the kidney, moving pain, buzzing and ringing in the ears and temporary hearing loss. [e:Kidney rlung A kidney disease with cold and རླུང inflictions and it is characterised by severe pain in the kidney, moving pain, buzzing and ringing in the ears and temporary hearing loss.  
མཁས་གྲུབ་ནོར་བཟང་རྒྱ་མཚོ་	Khedup Norsang Gyatso was an astrological schlar. He authored དྲི་མེད་འོད་རྒྱན in 1483. [e:Khedup Norsang Gyatso was an astrological schlar. He authored དྲི་མེད་འོད་རྒྱན in 1483.  
མཁྱིད་	This is a measure of length used in Tibet. One མཁྱིད refers to the distance measured from the tip of the outstretched thumb to the base of the little finger when the hand is clenched into a fist [e:This is a measure of length used in Tibet. One མཁྱིད refers to the distance measured from the tip of the outstretched thumb to the base of the little finger when the hand is clenched into a fist  
མཁྱེན་རབ་ནོར་བུ་	"khenrab Norbu Rev. Khenrab Norbu was born to Astrologer Ngawo Che and Yangchen in ༼m1883༽ A.D. at Tsethang, Southern Tibet. He was appointed as the director of both The Chagpori Medical College and Lhasa Tibetan Medical and Astrology Institute in ༼m1916༽ by the Great Thirteen Dalai Lama. He formulated ༼m125༽ different medicines along with their actions in a book titled &quot; བདུད་རྩི་འབུམ་བཟང &quot;. He dedicated his entire life in promoting Tibetan Medicine and astrology. He died in [e:khenrab Norbu Rev. Khenrab Norbu was born to Astrologer Ngawo Che and Yangchen in   ༼m1883༽ A.D. at Tsethang, Southern Tibet. He was appointed as the director of both The Chagpori Medical College and Lhasa Tibetan Medical and Astrology Institute in   ༼m1916༽ by the Great Thirteen Dalai Lama. He formulated   ༼m125༽ different medicines along with their actions in a book titled "" བདུད་རྩི་འབུམ་བཟང "". He dedicated his entire life in promoting Tibetan Medicine and astrology. He died in   ༼m1962༽ at the age of 80.  "
འཁོར་སྐར་	Satellite A natural satellites are heavenly bodies or moon which orbit around planets. An artificial satellite is a man made object launched into orbit around the Earth, Moon or other heavenly bodies. [e:Satellite A natural satellites are heavenly bodies or moon which orbit around planets. An artificial satellite is a man made object launched into orbit around the Earth, Moon or other heavenly bodies.  
འཁོར་བསྐྱོད་	Rotation One complete turn of the body on its axis [e:Rotation One complete turn of the body on its axis  
འཁོར་ལམ་	Orbits A path followed by a body moving around a planet etc. which as gravity [e:Orbits A path followed by a body moving around a planet etc. which as gravity     
འཁོར་ལོས་བསྒྱུར་བའི་རྒྱལ་པོ་	The Monarch with wheels in hands These Monarchs appear when human life span stretches from eighty thousand to infinity. [e:The Monarch with wheels in hands These Monarchs appear when human life span stretches from eighty thousand to infinity.  
འཁྲིག་པ་སྤྱོད་པ་	Engaging in sexual intercourse [e:Engaging in sexual intercourse  
འཁྲུགས་ཚད་	Srana Agitated heat disorder/ Disturbed fever, [e:Agitated heat disorder/ Disturbed fever, ༼sk= Srana༽  
ཁྲུས་བྱེད་པ་	Take bath; It is one of the twelve rises and falls [e:Take bath; It is one of the twelve rises and falls ( དར་གུས་བཅུ་གཉིས ) which often used in elemental astrology  
ག་དུར་	༼bot=༽ Geranium wallichianum [e:༼bot=༽ Geranium wallichianum Taste: Sweet to astringent Potency: Cool Uses: It is used against fever associated with infectious common cold, pneumonia, fevers of the nerve tissues, swelling of limbs, and subsides pain.  
ག་དོར་གསུམ་	The three horns; a collective name for the horns of the following animals: ༼m1༽ Tibetan elk ( ཁ་ཤ ) ༼m2༽ Deer ( ཤ་བ ) [e:The three horns; a collective name for the horns of the following animals:   ༼m1༽ Tibetan elk ( ཁ་ཤ )   ༼m2༽ Deer ( ཤ་བ )   ༼m3༽ Rhinocerous ( བསེ་རུ )  
ག་བྲ་	༼bot=༽ Rubus ellipticus [e:༼bot=༽ Rubus ellipticus Taste: Sweet to astringent to hot Potency: Neutral Uses: It is used against common cold, unripe infectious fever and most contagious diseases.  
གག་པ་	Throat inflammation A serious disease which affects the larynx, the uppermost region of the trachea and the uvula. It is characterised by thick, sticky, whitish coating on the tongue, small pimples on the tongue, lips, palate and mucous membrane of the cheeks, difficulties swallowing of foods and drinks and a loss of voice. [e:Throat inflammation A serious disease which affects the larynx, the uppermost region of the trachea and the uvula. It is characterised by thick, sticky, whitish coating on the tongue, small pimples on the tongue, lips, palate and mucous membrane of the cheeks, difficulties swallowing of foods and drinks and a loss of voice.  
གག་ལྷོག་	Diptheria or inflammation associated with the throats ( གག ) and the vulnerable diseases of the smooth muscles [e:Diptheria or inflammation associated with the throats ( གག ) and the vulnerable diseases of the smooth muscles ( ལྷོག )  
གང་ག་ཆུང་	༼bot=༽ Gentiana Urnula [e:༼bot=༽ Gentiana Urnula Taste: Bitter Potency: Cool Uses: It is used against epidemic fever, wound infection, hot disorders of blood and bile, poisoning and brown phlegm.     
གངས་ཐིགས་	"༼bot=༽ Smithsonite calamina [e:༼bot=༽ Smithsonite calamina Taste: Astringent Potency: Cool Uses: It literally means ""drops of snow"" and heals fractured bones and hepatitis.  "
གངས་ཆུ་	Snow water It is pure and is said to have medicinal value, though human digestive heat can hardly withstand it. [e:Snow water It is pure and is said to have medicinal value, though human digestive heat can hardly withstand it.  
གན་དྷ་པ་ཏྲ་	༼bot=༽ Fanacetum sibiricum [e:༼bot=༽ Fanacetum sibiricum (a fragrant herb with yellow flower). Taste: Sweet to hot Potency: Coarse to warm Uses: Cures tumours, common cold, poisoning, gout and བད་ཀན་སྐྱ་སྨུག་  
གབ་རྩེ་	Hidden points [e:Hidden points  
གབ་ཚད་	Hidden fever A disease characterised by an increase in heat or fever, but irise is not apparent, because it is concealed by the badkan and རླུང influence. [e:Hidden fever A disease characterised by an increase in heat or fever, but irise is not apparent, because it is concealed by the badkan and རླུང influence.  
གར་ཆང་	Strong barley beer [e:Strong barley beer  
གུ་ཡུ་	༼hn=༽ Supari ༼bot=༽ Areca Catechu [e:༼hn=༽ Supari ༼bot=༽ Areca Catechu Taste: Bitter to hot Potency: Neutral Uses: It is used to treat རླུང disorders, frequent urination, kidney disorders and worms and bacterial infections.  
གོ་བྱེ་	༼bot=༽ Senecarpus anarcardius L.F. [e:༼bot=༽ Senecarpus anarcardius L.F. Taste: Hot Potency: Warm Uses: It remedies epidemic disorders of the stomach and gastro-intestinal system, wounds, excessive accumulation of lymphatic fluids, disorders of microorganism and bone disease.  
གོས་གྱོན་	Wear clothe, It is one of the twelve rises and falls [e:Wear clothe, It is one of the twelve rises and falls ( དར་གུད་བཅུ་གཉིས ) often used in elemental astrology.  
གོས་སྲབ་	Thin clothes [e:Thin clothes  
གྱུར་དུག་	Food poison [e:Food poison  
གྲང་ཆུ་	Urine which indicates cold disorders [e:Urine which indicates cold disorders (༼lv=lit༽ cold water)  
གྲང་ཤུམ་	Shivering or cold chills [e:Shivering or cold chills (symptomatic of diseases caused by wind)  
གྲིབ་ནད་	Stroke/apoplexy A condition characterised by person negatively affected by impurities like meat, sexual intercourse, dirt etc.) [e:Stroke/apoplexy A condition characterised by person negatively affected by impurities like meat, sexual intercourse, dirt etc.)  
གྲིབ་བསངས་	Purification of defilement [e:Purification of defilement  
གྲུམ་	Fractured [e:Fractured  
གྲུམ་བུ་	Sandhi-vata Rheumatoid Arthritis, A chronic diseases of the joints that usually causes inflammation, stiffness, swelling, weakness, severe pain, loss of mobility and deformity of the joints [e:Rheumatoid Arthritis, ༼sk= Sandhi-vata༽ A chronic diseases of the joints that usually causes inflammation, stiffness, swelling, weakness, severe pain, loss of mobility and deformity of the joints  
གྲེ་མོ་	Female ' གྲེ ' spirits / demoness [e:Female ' གྲེ ' spirits / demoness     
གྲོག་ཞིང་	Moss, bryophyte fungus, musci [e:Moss, bryophyte fungus, musci  
གྲོགས་ཀྱི་རྒྱུ་	Accompanying cause [e:Accompanying cause  
གླ་གོར་ཞོ་ཤ་	༼hn=༽ Bee emli ༼bot=༽ Entada phaseoloides [e:༼hn=༽ Bee emli ༼bot=༽ Entada phaseoloides Taste: Sweet Potency: Cool Uses: It is used against spleen ailment, impotency and painful swelling.  
གླང་ཤུ་	Psoriasis, Eczema or ichthyosis; a skin disorder which resembles that of the neck of an ox driven on the field [e:Psoriasis, Eczema or ichthyosis; a skin disorder which resembles that of the neck of an ox driven on the field  
གླེང་སློང་	Enumeration on the subject under discussion [e:Enumeration on the subject under discussion  
གློ་རྒྱབ་པ་	Cough A condition characterised by forceful action of chest and throat; clears airways of mucus [e:Cough A condition characterised by forceful action of chest and throat; clears airways of mucus  
གློ་མཆིན་འདོམས་རྩ་	Blood letting vessels at the confluence of the lungs and liver [e:Blood letting vessels at the confluence of the lungs and liver  
གློ་རྡོལ་	Pulmonary ulceration [e:Pulmonary ulceration (including tuberculosis)  
གློ་ནད་	Pulmonary diseases Pulmonary diseases are classified into eight different types. Seven disorders are related to the three humours, one to the blood and the eighth is associated with hot disorder. [e:Pulmonary diseases Pulmonary diseases are classified into eight different types. Seven disorders are related to the three humours, one to the blood and the eighth is associated with hot disorder.  
གློ་བ་བུ་ལྔ་	Anterior lungs [e:Anterior lungs (five lobes of the anterior part of the lungs)  
གློ་བ་མ་ལྔ་	Posterior lungs [e:Posterior lungs (five lobes of the posterior part of the lungs)  
གློ་མ་	Posterior of the lungs [e:Posterior of the lungs     
གློ་ཚད་	Fever of the lungs It is one of the eight specific disorders of the lungs characterised by pain in the back and front, excessive coughing and blood-strained sputum. [e:Fever of the lungs It is one of the eight specific disorders of the lungs characterised by pain in the back and front, excessive coughing and blood-strained sputum.  
དགག་བཞག་སྤོང་གསུམ་	Three Essential Factors-Refutation, Establishment and Response to an assertion; A systematic debate in the study of Buddhist Logic must fulfill these three factors. [e:Three Essential Factors-Refutation, Establishment and Response to an assertion; A systematic debate in the study of Buddhist Logic must fulfill these three factors.  
དགའ་བ་	Joy; rejoicing when the doctor sees other sentient beings free from suffering It is one of the four boundless practices of a Tibetan doctor. [e:Joy; rejoicing when the doctor sees other sentient beings free from suffering It is one of the four boundless practices of a Tibetan doctor.     
དགུ་ཚིགས་	Milky Way [e:Milky Way  
དགུང་མཁའ་	Midnight sky [e:Midnight sky  
དགུང་ཐིག་	The meridian line [e:The meridian line  
དགུན་ཁ་	Winter Season [e:Winter Season ( གདུན་དུས )  
དགུན་ཉི་ལྡོག་	Winter solstice It appears in the 11th month; It is the shortest day and longest night of the year. [e:Winter solstice It appears in the 11th month; It is the shortest day and longest night of the year.  
དགུན་སྟོད་	Early winter; 10th and 11th Tibetan lunar months [e:Early winter; 10th and 11th Tibetan lunar months  
